Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-11362,87906,Bug,05.11.21 11:17,3.0
SEP-11406,80612,Bug,05.11.21 11:19,0.5
SEP-11065,79460,Bug,05.11.21 11:19,1.0
SEP-11229,84848,Bug,09.11.21 09:45,0.5
SEP-11214,84797,Bug,09.11.21 09:47,1.0
SEP-11120,80300,Task,09.11.21 09:50,5.0
SEP-11398,88109,Story,10.11.21 11:12,0.5
SEP-11291,86543,Story,12.11.21 11:13,1.0
SEP-11344,87596,Bug,16.11.21 11:13,0.5
SEP-11497,89416,Bug,17.11.21 11:28,0.5
SEP-11484,89233,Bug,17.11.21 11:29,2.0
SEP-8701,58542,Bug,18.11.21 11:11,0.5
SEP-11458,88845,Bug,18.11.21 11:17,1.0
SEP-11117,80039,Task,18.11.21 11:18,3.0
SEP-11135,80552,Bug,23.11.21 09:30,1.0
SEP-11315,86717,Task,23.11.21 09:35,5.0
SEP-6906,49096,Story,23.11.21 09:41,8.0
SEP-11454,88669,Task,23.11.21 09:52,5.0
SEP-11572,90148,Bug,23.11.21 12:42,1.0
SEP-11165,80837,Bug,25.11.21 10:43,1.0
SEP-11597,90460,Bug,29.11.21 11:14,1.0
SEP-11600,90541,Bug,29.11.21 11:14,1.0
SEP-8533,57516,Bug,29.11.21 11:15,0.5
SEP-11482,89222,Bug,29.11.21 11:15,0.5
SEP-11513,89571,Bug,29.11.21 11:16,1.0
SEP-11348,87601,Bug,29.11.21 11:17,1.0
SEP-10993,78902,Bug,29.11.21 11:18,1.0
SEP-9551,64342,Bug,30.11.21 11:16,1.0
SEP-11637,90839,Bug,02.12.21 10:22,2.0
SEP-11618,90695,Bug,02.12.21 10:23,1.0
SEP-11401,88157,Bug,03.12.21 11:08,1.0
SEP-11560,90023,Bug,03.12.21 11:09,1.0
SEP-11522,89656,Bug,03.12.21 11:10,8.0
SEP-11346,87599,Bug,03.12.21 11:26,0.5
SEP-11499,89418,Bug,06.12.21 11:21,1.0
SEP-11354,87831,Story,06.12.21 11:22,1.0
SEP-11588,90232,Task,07.12.21 09:27,1.0
SEP-8802,59082,Bug,07.12.21 09:29,1.0
SEP-11659,91192,Bug,08.12.21 11:27,2.0
SEP-11694,91448,Bug,08.12.21 11:27,0.5
SEP-11222,84840,Bug,09.12.21 10:05,3.0
SEP-11688,91386,Bug,09.12.21 10:14,2.0
SEP-9718,65585,Story,09.12.21 10:23,5.0
SEP-11665,91319,Bug,10.12.21 11:14,2.0
SEP-11419,88242,Story,13.12.21 11:40,1.0
SEP-11437,88514,Task,13.12.21 11:43,5.0
SEP-11726,91703,Bug,14.12.21 10:10,1.0
SEP-11701,91510,Bug,14.12.21 11:19,2.0
SEP-11743,91929,Bug,14.12.21 11:26,0.5
SEP-11763,92047,Bug,15.12.21 11:07,2.0
SEP-11777,92190,Story,15.12.21 11:35,4.0
SEP-11657,91187,Bug,17.12.21 11:15,1.0
SEP-11520,89611,Story,20.12.21 11:04,2.0
SEP-11800,92440,Bug,21.12.21 10:43,0.5
SEP-10968,78716,Bug,22.12.21 08:24,13.0
SEP-11684,91380,Task,22.12.21 08:59,1.0
SEP-11629,90801,Bug,03.01.22 09:21,1.0
SEP-11814,92823,Task,05.01.22 09:14,1.0
SEP-11784,92270,Bug,06.01.22 09:10,5.0
SEP-11813,92813,Bug,07.01.22 09:12,3.0
SEP-11804,92459,Story,11.01.22 09:14,3.0
SEP-11802,92443,Bug,11.01.22 09:15,3.0
SEP-10385,72878,Story,12.01.22 09:04,3.0
SEP-11852,93359,Bug,12.01.22 09:14,1.0
SEP-3435,35433,Story,12.01.22 09:16,3.0
SEP-11842,93182,Bug,13.01.22 09:09,3.0
SEP-11861,93445,Bug,18.01.22 08:57,1.0
SEP-11850,93267,Story,18.01.22 08:57,
SEP-11825,93039,Task,19.01.22 09:36,5.0
SEP-11895,93981,Bug,19.01.22 12:20,3.0
SEP-10921,78225,Story,20.01.22 09:24,1.0
SEP-11938,94523,Bug,21.01.22 09:07,5.0
SEP-11976,94777,Bug,21.01.22 09:14,1.0
SEP-11385,88035,Bug,21.01.22 09:14,1.0
SEP-11718,91661,Bug,21.01.22 09:16,2.0
SEP-12006,95055,Bug,21.01.22 09:28,0.5
SEP-11885,93867,Bug,21.01.22 09:28,0.5
SEP-11888,93871,Bug,24.01.22 09:17,0.5
